,Year,School,Conf,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS
58,1993,Maryland,ACC,12,16,79.8,79.5,0.32,9.17,9.16,0.34,9.49
59,1993,James Madison,CAA,21,9,80.4,71.3,9.10,0.27,6.99,2.38,9.37
60,1993,Southern Illinois,MVC,23,10,77.1,69.0,8.15,2.14,8.75,0.58,9.33
61,1993,Virginia Commonwealth,Metro,20,10,79.3,71.8,7.50,1.76,6.06,3.19,9.26
62,1993,Arizona State,Pac-10,18,10,84.5,82.3,2.21,6.99,15.18,-5.94,9.24
63,1993,New Mexico,WAC,24,7,69.8,63.2,6.58,3.30,-1.70,10.67,8.97
64,1993,Auburn,SEC (West),15,12,80.4,76.2,4.22,6.96,7.87,1.05,8.92
65,1993,Evansville,MW Coll,23,7,75.0,65.3,9.70,-0.88,0.83,8.02,8.84
66,1993,Southern California,Pac-10,18,12,71.5,69.2,2.23,7.79,1.34,7.17,8.50
67,1993,Oregon State,Pac-10,13,14,69.2,67.3,1.85,9.08,-1.08,9.56,8.48
68,1993,Villanova,Big East,8,19,70.6,69.3,1.30,7.16,1.52,6.95,8.46
69,1993,Long Beach State,Big West,22,10,78.5,71.1,7.41,2.39,4.81,3.44,8.25
70,1993,Tulane,Metro,22,9,75.9,69.5,6.35,2.39,2.75,5.37,8.13
71,1993,New Mexico State,Big West,26,8,76.9,72.4,4.56,4.11,5.74,2.34,8.08
72,1993,Wisconsin,Big Ten,14,14,77.0,75.6,1.36,6.72,8.14,-0.07,8.08
73,1993,Tennessee,SEC (East),13,17,78.7,79.6,-0.93,8.75,8.14,-0.33,7.81
74,1993,Louisiana-Monroe,Southland,26,5,87.2,74.2,13.00,-5.08,7.89,-0.24,7.65
75,1993,UC Santa Barbara,Big West,18,11,68.8,63.1,5.72,1.56,-2.88,10.17,7.29
76,1993,Missouri State,MVC,20,11,63.1,58.5,4.65,2.41,-7.07,14.12,7.05
77,1993,Rutgers,A-10,13,15,81.4,79.2,2.25,6.38,10.04,-3.14,6.89
78,1993,Saint Louis,GMWC,12,17,69.6,67.4,2.17,6.65,-1.33,8.21,6.87
79,1993,Southern Methodist,SWC,20,8,81.1,76.1,5.04,3.15,6.35,0.46,6.80
80,1993,Chattanooga,Southern,26,7,85.5,72.3,13.18,-3.06,7.54,-0.91,6.63
81,1993,Lamar,Sun Belt,15,12,88.3,79.5,8.78,-1.82,13.64,-7.07,6.56
82,1993,Colorado,Big 8,10,17,74.2,75.3,-1.15,7.62,4.01,2.46,6.48
83,1993,Pennsylvania,Ivy,22,5,72.2,62.4,9.78,-3.14,0.43,5.84,6.27
84,1993,Saint Joseph's,A-10,18,11,71.8,69.6,2.21,3.95,1.74,4.45,6.19
85,1993,Rice,SWC,18,10,77.5,73.7,3.79,2.38,4.79,1.38,6.17
86,1993,DePaul,GMWC,16,15,73.9,75.0,-1.13,6.81,5.79,-0.24,5.55
87,1993,Charlotte,Metro,15,13,72.8,69.8,2.96,2.83,-0.69,6.06,5.37
88,1993,UTEP,WAC,21,13,71.2,68.2,2.97,3.22,0.04,5.05,5.09
89,1993,Old Dominion,CAA,21,8,84.3,79.9,4.45,2.05,10.51,-5.53,4.98
90,1993,Washington,Pac-10,13,14,71.1,68.9,2.15,6.26,-2.26,7.20,4.94
91,1993,South Alabama,Sun Belt,15,13,81.5,78.5,2.93,1.91,9.11,-4.27,4.84
92,1993,Miami (OH),MAC,22,9,63.6,46.5,17.06,-0.27,-8.36,13.16,4.80
93,1993,Pacific,Big West,16,11,67.1,63.7,3.41,1.70,-6.28,11.06,4.78
94,1993,Niagara,MAAC,23,7,79.6,70.9,8.70,-4.03,6.68,-2.00,4.68
95,1993,Miami (FL),Big East,10,17,71.4,74.2,-2.78,9.23,3.46,1.18,4.63
96,1993,Louisiana,Sun Belt,17,13,79.7,76.8,2.90,1.68,6.96,-2.38,4.58
97,1993,Arkansas State,Sun Belt,16,12,70.4,65.5,4.89,0.02,-3.73,7.79,4.06
98,1993,Pepperdine,WCC,23,8,72.2,64.5,7.71,-1.32,-3.21,7.03,3.82
99,1993,Illinois State,MVC,19,10,66.6,63.4,3.14,0.97,-4.46,8.22,3.76
100,1993,South Carolina,SEC (East),9,18,77.0,82.3,-5.30,9.78,7.44,-4.00,3.43
101,1993,Colorado State,WAC,17,12,74.9,71.5,3.38,2.22,1.39,1.94,3.33
102,1993,Manhattan,MAAC,23,7,73.1,66.9,6.27,-3.05,0.62,2.53,3.15
103,1993,Cal State Fullerton,Big West,15,12,71.7,70.1,1.67,2.20,-1.43,4.55,3.13
104,1993,Wright State,Mid-Cont,20,10,89.1,78.4,10.73,-5.97,10.95,-7.85,3.10
105,1993,Baylor,SWC,16,11,87.1,83.9,3.26,1.83,11.13,-8.14,2.99
106,1993,Texas,SWC,11,17,81.8,82.8,-1.00,5.41,8.09,-5.17,2.93
107,1993,Texas Tech,SWC,18,12,80.2,77.5,2.67,1.56,5.14,-2.23,2.91
108,1993,Holy Cross,Patriot,23,7,85.4,77.8,7.63,-5.04,10.89,-8.30,2.59
109,1993,Hawaii,WAC,12,16,70.0,70.2,-0.14,2.98,-0.38,2.86,2.48
110,1993,Tulsa,MVC,15,14,76.8,74.8,2.07,2.29,4.83,-2.43,2.40
111,1993,Northwestern,Big Ten,8,19,70.8,75.5,-4.70,9.19,0.33,2.01,2.34
112,1993,Notre Dame,Ind,9,18,63.4,70.3,-6.85,8.91,-5.02,7.08,2.06
113,1993,Richmond,CAA,15,12,71.7,69.4,2.26,-0.24,-2.20,4.22,2.02
114,1993,Southern Mississippi,Metro,10,17,79.3,82.0,-2.78,4.80,6.43,-4.41,2.02
115,1993,Southern,SWAC,21,10,97.1,85.5,11.65,-7.48,14.60,-12.59,2.00
116,1993,Oregon,Pac-10,10,20,75.9,78.9,-3.00,8.63,4.30,-2.48,1.82
117,1993,Detroit Mercy,MW Coll,15,12,78.4,76.1,2.22,0.81,5.29,-3.56,1.73
118,1993,NC State,ACC,8,19,68.0,76.7,-8.78,10.62,-1.60,3.32,1.73
119,1993,Gonzaga,WCC,19,9,74.7,65.5,9.25,-4.93,-1.96,3.57,1.61
120,1993,Duquesne,MW Coll,13,15,74.9,74.5,0.39,1.15,3.02,-1.48,1.54
121,1993,Milwaukee,Ind,23,4,79.7,70.0,9.74,-7.60,2.26,-0.79,1.48
122,1993,Santa Clara,WCC,19,12,68.9,66.4,2.55,0.24,-4.44,5.85,1.41
123,1993,Ball State,MAC,26,8,71.2,64.3,6.94,-4.68,-2.81,4.13,1.32
124,1993,Mississippi State,SEC (West),13,16,70.1,74.1,-3.97,6.72,-1.88,3.19,1.31
125,1993,Utah State,Big West,10,17,77.5,79.7,-2.19,5.29,5.54,-4.33,1.21
126,1993,Idaho,Big Sky,24,8,74.5,66.3,8.16,-4.85,-1.71,2.79,1.08
127,1993,Texas A&M,SWC,10,17,68.7,71.6,-2.81,3.73,-4.07,4.99,0.92
128,1993,Penn State,Big Ten,7,20,62.2,70.9,-8.70,9.23,-5.39,6.29,0.90
129,1993,Drake,MVC,14,14,73.8,74.5,-0.75,2.33,4.49,-3.60,0.89
130,1993,Jackson State,SWAC,25,9,84.8,78.0,6.85,-3.64,5.02,-4.29,0.73
131,1993,Siena,MAAC,16,13,71.7,67.8,3.86,-2.31,-1.49,2.22,0.73
132,1993,UNC Wilmington,CAA,17,11,82.2,78.3,3.89,-1.62,7.40,-6.67,0.73
133,1993,Weber State,Big Sky,20,8,78.2,73.3,4.96,-3.89,3.87,-3.51,0.36
134,1993,Boise State,Big Sky,21,8,75.5,69.7,5.86,-4.28,0.56,-0.21,0.35
135,1993,Stanford,Pac-10,7,23,66.3,70.5,-4.20,6.06,-4.87,4.94,0.06
136,1993,La Salle,MW Coll,14,13,67.9,70.1,-2.26,2.56,-1.93,1.91,-0.02
137,1993,Cleveland State,Mid-Cont,22,6,76.4,70.9,5.43,-5.51,0.98,-1.06,-0.08
138,1993,Bucknell,Patriot,23,6,81.0,71.8,9.28,-8.57,3.85,-3.96,-0.11
139,1993,American,CAA,11,17,76.1,77.4,-1.32,1.15,3.78,-3.96,-0.17
140,1993,Indiana State,MVC,11,17,67.2,69.5,-2.29,2.29,-1.98,1.75,-0.23
141,1993,St. Bonaventure,A-10,10,17,71.0,74.9,-3.85,3.46,0.80,-1.07,-0.27
142,1993,East Tennessee State,Southern,19,10,83.2,77.7,5.48,-3.31,4.99,-5.38,-0.39
143,1993,Northeastern,NAC,20,8,75.9,69.8,6.11,-6.62,-0.34,-0.18,-0.51
144,1993,Wyoming,WAC,13,15,68.8,69.5,-0.79,1.29,-3.28,2.68,-0.60
145,1993,Delaware,NAC,22,8,74.8,69.0,5.80,-5.63,-1.72,1.09,-0.63
146,1993,Bradley,MVC,11,16,60.1,61.3,-1.22,1.12,-12.04,11.13,-0.92
147,1993,Iona,MAAC,16,11,75.8,74.3,1.52,-1.97,3.63,-4.64,-1.01
148,1993,Tennessee State,OVC,19,10,78.7,76.1,2.62,-4.56,1.27,-2.40,-1.13
149,1993,Cornell,Ivy,16,10,70.3,68.5,1.81,-1.72,-1.83,0.58,-1.24
150,1993,San Francisco,WCC,19,12,78.0,76.3,1.77,-1.21,6.01,-7.28,-1.28
151,1993,Wichita State,MVC,10,17,64.6,69.6,-5.07,4.30,-4.27,2.88,-1.39
152,1993,Kansas City,Ind,15,12,79.3,74.7,4.67,-2.19,1.49,-2.90,-1.41
153,1993,Butler,MW Coll,11,17,67.8,70.9,-3.11,3.20,-3.48,1.97,-1.51
154,1993,Georgia Southern,Southern,19,9,79.1,75.4,3.79,-4.87,2.42,-3.97,-1.55
155,1993,Western Michigan,MAC,17,12,67.4,66.2,1.21,-2.32,-4.91,3.31,-1.60
156,1993,South Florida,Metro,8,19,71.9,77.3,-5.33,3.66,0.28,-1.95,-1.67
157,1993,East Carolina,CAA,13,17,67.9,69.6,-1.73,0.94,-7.71,5.69,-2.02
158,1993,Mississippi,SEC (West),10,18,71.1,77.2,-6.07,8.04,-2.47,0.38,-2.08
159,1993,Virginia Tech,Metro,10,18,67.1,70.3,-3.18,2.13,-5.67,3.58,-2.09
160,1993,Green Bay,Mid-Cont,13,14,66.1,63.1,2.96,-5.33,-11.79,9.65,-2.14
161,1993,Drexel,NAC,22,7,73.1,67.0,6.10,-8.49,-3.53,1.15,-2.39
162,1993,Princeton,Ivy,15,11,57.6,54.7,2.96,-4.72,-17.29,14.77,-2.52
163,1993,William & Mary,CAA,14,13,75.0,74.3,0.70,-1.44,-0.19,-2.33,-2.52
164,1993,San Diego,WCC,13,14,72.4,71.6,0.85,-1.48,-3.24,0.60,-2.64
165,1993,Illinois-Chicago,Mid-Cont,17,15,79.0,77.0,1.97,-3.45,2.92,-5.74,-2.82
166,1993,Columbia,Ivy,16,10,72.7,66.8,5.85,-6.65,-2.26,-0.75,-3.01
167,1993,Creighton,MVC,8,18,64.1,69.2,-5.04,2.01,-5.70,2.67,-3.03
168,1993,Fresno State,WAC,13,15,66.7,71.8,-5.11,2.06,-3.55,0.51,-3.05
169,1993,Northern Iowa,MVC,12,15,61.3,65.9,-4.56,2.00,-8.95,5.83,-3.12
170,1993,Little Rock,Sun Belt,15,12,68.9,71.7,-2.81,-0.24,-5.17,1.85,-3.32
171,1993,San Jose State,Big West,7,19,64.5,70.6,-6.08,2.77,-7.17,3.79,-3.38
172,1993,Eastern Kentucky,OVC,15,12,76.1,72.6,3.48,-5.81,-3.02,-0.55,-3.57
173,1993,Murray State,OVC,18,12,84.5,81.7,2.87,-4.40,6.17,-9.85,-3.68
174,1993,Coppin State,MEAC,22,8,73.8,66.5,7.33,-11.06,-5.00,1.28,-3.73
175,1993,UC Irvine,Big West,6,21,73.1,78.3,-5.19,2.93,-0.22,-3.54,-3.76
176,1993,Coastal Carolina,Big South,22,10,77.8,70.9,6.88,-7.88,-3.81,-0.11,-3.91
177,1993,Ohio,MAC,14,13,70.6,70.6,0.00,-3.23,-2.56,-1.37,-3.92
178,1993,Montana,Big Sky,17,11,65.5,61.5,3.96,-5.34,-11.71,7.73,-3.98
179,1993,Bowling Green State,MAC,11,16,64.8,66.7,-1.89,-0.85,-7.16,3.15,-4.00
180,1993,College of Charleston,TAAC,19,8,68.4,60.4,8.04,-8.30,-11.02,6.93,-4.08
181,1993,Texas State,Southland,14,13,72.7,71.0,1.74,-4.74,-6.55,2.13,-4.42
182,1993,Marshall,Southern,16,11,78.2,76.4,1.85,-4.80,1.20,-5.64,-4.44
183,1993,Davidson,Southern,14,14,74.2,72.9,1.36,-2.78,-3.11,-1.39,-4.50
184,1993,Nevada,Big West,9,17,74.8,81.0,-6.19,2.78,2.66,-7.24,-4.58
185,1993,Southern Utah,Ind,14,13,76.1,74.0,2.07,-3.47,-0.16,-4.44,-4.60
186,1993,Eastern Michigan,MAC,13,17,69.1,70.0,-0.83,-2.99,-5.14,0.05,-5.09
187,1993,Fairfield,MAAC,14,13,66.3,67.7,-1.37,-3.84,-7.61,2.40,-5.21
188,1993,Kent State,MAC,10,17,64.5,67.5,-3.00,-2.26,-7.44,2.18,-5.26
189,1993,Dayton,MW Coll,4,26,61.5,71.7,-10.20,5.33,-7.58,2.27,-5.32
190,1993,Rider,NEC,19,11,73.4,70.7,2.67,-8.28,-3.06,-2.55,-5.61
191,1993,Mississippi Valley State,SWAC,13,15,81.8,83.1,-1.39,-3.93,3.05,-8.69,-5.64
192,1993,Hartford,NAC,14,14,73.0,72.3,0.68,-6.09,-4.10,-1.62,-5.71
193,1993,Florida International,TAAC,20,10,68.3,65.3,3.00,-7.44,-11.88,6.03,-5.84
194,1993,McNeese State,Southland,12,16,72.6,72.7,-0.04,-4.91,-5.41,-0.54,-5.95
195,1993,Colgate,Patriot,18,10,76.8,73.1,3.64,-9.60,-0.82,-5.14,-5.96
196,1993,Valparaiso,Mid-Cont,12,16,79.2,79.8,-0.57,-4.89,2.85,-8.92,-6.07
197,1993,Appalachian State,Southern,13,15,81.3,82.0,-0.68,-4.27,4.39,-10.48,-6.09
198,1993,Furman,Southern,11,17,74.8,76.5,-1.75,-3.54,-1.64,-4.53,-6.17
199,1993,Jacksonville,Sun Belt,5,22,70.9,77.7,-6.81,0.54,-1.93,-4.49,-6.43
200,1993,Toledo,MAC,12,16,66.8,69.0,-2.21,-4.61,-4.83,-1.67,-6.50
201,1993,Canisius,MAAC,10,18,63.4,67.9,-4.43,-2.10,-10.36,3.83,-6.53
202,1993,Wagner,NEC,18,12,69.8,67.6,2.20,-8.94,-7.59,0.91,-6.68
203,1993,UT Arlington,Southland,16,12,84.1,84.4,-0.36,-3.51,3.95,-10.74,-6.79
204,1993,Idaho State,Big Sky,10,18,71.2,73.6,-2.36,-3.16,-2.85,-3.98,-6.83
205,1993,Southeast Missouri State,OVC,16,11,80.7,80.2,0.48,-6.07,1.98,-9.05,-7.07
206,1993,UTSA,Southland,15,14,80.7,82.7,-2.00,-3.31,1.75,-8.87,-7.12
207,1993,Northwestern State,Southland,13,13,90.7,86.5,4.12,-5.66,8.23,-15.43,-7.20
208,1993,Loyola (IL),MW Coll,7,20,67.0,73.8,-6.78,2.29,-4.34,-2.89,-7.23
209,1993,San Diego State,WAC,8,21,66.0,75.0,-8.97,4.72,-7.19,-0.13,-7.32
210,1993,Samford,TAAC,17,10,72.0,67.1,4.93,-9.93,-8.58,1.26,-7.33
211,1993,Nicholls State,Southland,14,12,77.7,78.5,-0.81,-4.48,-1.63,-5.72,-7.35
212,1993,Air Force,WAC,9,19,65.5,70.9,-5.39,2.05,-9.35,1.91,-7.45
213,1993,Dartmouth,Ivy,11,15,68.0,69.5,-1.54,-5.32,-5.94,-1.62,-7.56
214,1993,Tennessee Tech,OVC,15,13,87.1,87.4,-0.29,-5.44,8.81,-16.44,-7.63
215,1993,Towson,Big South,18,9,77.1,75.8,1.37,-8.77,-2.58,-5.35,-7.92
216,1993,Fordham,Patriot,15,16,65.4,68.7,-3.32,-3.97,-11.05,3.11,-7.93
217,1993,Mercer,TAAC,13,14,73.1,73.9,-0.85,-4.41,-5.01,-2.94,-7.95
218,1993,Texas Southern,SWAC,12,15,77.5,80.1,-2.56,-3.11,-2.57,-5.38,-7.95
219,1993,Stephen F. Austin,Southland,12,14,72.8,74.6,-1.81,-5.08,-7.04,-0.96,-8.00
220,1993,Saint Mary's (CA),WCC,11,16,61.5,67.7,-6.15,-1.86,-9.22,0.82,-8.40
221,1993,Alabama State,SWAC,14,13,88.1,84.7,3.33,-9.70,2.26,-10.75,-8.49
222,1993,Cal State Northridge,Ind,10,17,68.0,72.1,-4.11,-2.47,-6.89,-1.66,-8.55
223,1993,Yale,Ivy,10,16,54.3,55.5,-1.19,-7.08,-20.84,11.99,-8.84
224,1993,Liberty,Big South,16,14,77.2,70.9,6.27,-10.29,-6.51,-2.50,-9.01
225,1993,Loyola Marymount,WCC,7,20,68.7,74.4,-5.67,-2.39,-6.20,-2.91,-9.11
226,1993,TCU,SWC,6,22,64.8,74.9,-10.11,0.93,-9.61,0.44,-9.18
227,1993,Northern Illinois,Mid-Cont,15,12,69.7,70.8,-1.04,-5.56,-9.06,-0.34,-9.40
228,1993,Montana State,Big Sky,9,18,67.4,68.2,-0.78,-4.97,-10.41,0.96,-9.45
229,1993,Georgia State,TAAC,13,14,76.3,77.0,-0.74,-5.22,-3.02,-6.59,-9.62
230,1993,Stetson,TAAC,13,14,78.3,78.7,-0.44,-8.53,-0.73,-9.14,-9.87
231,1993,Northeastern Illinois,Ind,11,16,78.1,80.7,-2.56,-2.73,-0.30,-9.60,-9.91
232,1993,Monmouth,NEC,11,17,64.5,66.3,-1.82,-8.25,-12.34,2.27,-10.07
233,1993,George Mason,CAA,7,21,68.3,75.1,-6.82,-1.21,-7.40,-2.73,-10.13
234,1993,Saint Peter's,MAAC,9,18,65.1,70.1,-5.00,-5.16,-10.15,-0.01,-10.16
235,1993,Northern Arizona,Big Sky,10,16,69.5,73.5,-4.04,-5.73,-6.60,-3.87,-10.47
236,1993,Mount St. Mary's,NEC,13,15,71.9,73.9,-2.07,-8.45,-4.59,-5.93,-10.53
237,1993,Marist,NEC,14,16,71.0,73.0,-2.00,-8.25,-5.99,-4.57,-10.56
238,1993,Akron,MAC,8,18,62.1,65.7,-3.65,-5.06,-12.17,1.48,-10.69
239,1993,Middle Tennessee,OVC,10,16,69.4,73.5,-4.04,-5.02,-12.33,1.61,-10.72
240,1993,Louisiana Tech,Sun Belt,7,21,61.1,72.5,-11.39,0.82,-12.49,1.56,-10.93
241,1993,Maine,NAC,10,17,68.2,71.2,-3.04,-7.93,-8.50,-2.47,-10.97
242,1993,Alcorn State,SWAC,7,20,79.0,85.7,-6.70,-4.58,-1.07,-9.98,-11.04
243,1993,Eastern Illinois,Mid-Cont,10,17,66.7,73.1,-6.33,-3.62,-10.69,-0.43,-11.12
244,1993,North Texas,Southland,5,21,78.8,87.0,-8.15,-3.41,0.32,-11.89,-11.56
245,1993,Grambling,SWAC,13,14,83.5,84.0,-0.52,-8.50,-1.77,-9.81,-11.58
246,1993,Hofstra,Ind,9,18,63.0,70.4,-7.44,-3.12,-13.22,1.64,-11.59
247,1993,Central Michigan,MAC,8,18,73.8,81.3,-7.54,-2.36,0.48,-12.30,-11.82
248,1993,Maryland-Baltimore County,Big South,12,16,81.8,83.5,-1.68,-8.47,3.06,-14.88,-11.82
249,1993,Robert Morris,NEC,9,18,66.7,72.2,-5.56,-6.34,-9.50,-2.40,-11.90
250,1993,Fairleigh Dickinson,NEC,11,17,67.7,70.1,-2.39,-8.15,-8.25,-3.86,-12.11
251,1993,The Citadel,Southern,10,17,64.5,71.4,-6.93,-5.09,-13.13,0.97,-12.16
252,1993,Eastern Washington,Big Sky,6,20,65.2,73.5,-8.31,-3.17,-7.42,-4.75,-12.17
253,1993,Western Illinois,Mid-Cont,7,20,73.2,79.6,-6.37,-5.72,-4.20,-8.10,-12.30
254,1993,Portland,WCC,9,18,69.2,75.6,-6.37,-4.58,-5.91,-6.62,-12.54
255,1993,Southeastern Louisiana,TAAC,12,15,76.7,79.6,-2.89,-6.19,-5.92,-6.66,-12.58
256,1993,Radford,Big South,15,16,81.3,82.9,-1.61,-7.95,1.86,-14.52,-12.66
257,1993,Saint Francis (PA),NEC,9,18,66.9,71.3,-4.33,-8.56,-10.15,-2.74,-12.89
258,1993,Long Island University,NEC,11,17,77.2,78.8,-1.64,-9.35,-0.81,-12.17,-12.98
259,1993,South Carolina State,MEAC,16,13,73.2,72.9,0.24,-12.52,-6.83,-6.17,-13.00
260,1993,Winthrop,Big South,14,16,83.6,83.9,-0.33,-11.39,2.63,-15.70,-13.07
261,1993,Central Florida,TAAC,10,17,76.7,79.7,-2.96,-9.17,-2.78,-10.71,-13.49
262,1993,North Carolina A&T,MEAC,14,13,70.0,72.1,-2.11,-10.89,-5.29,-8.25,-13.54
263,1993,Campbell,Big South,12,15,71.2,73.6,-2.41,-10.14,-9.87,-3.86,-13.72
264,1993,Austin Peay,OVC,7,20,69.0,80.5,-11.44,-1.43,-7.42,-6.44,-13.85
265,1993,Navy,Patriot,8,19,63.6,69.6,-6.00,-6.92,-14.18,0.25,-13.92
266,1993,New Hampshire,NAC,6,21,62.1,71.8,-9.63,-4.39,-12.37,-1.61,-13.98
267,1993,Sam Houston State,Southland,6,19,76.5,84.7,-8.16,-3.71,-3.15,-11.09,-14.23
268,1993,Vermont,NAC,10,17,75.1,81.6,-6.48,-7.46,-0.89,-13.37,-14.26
269,1993,Lafayette,Patriot,7,20,66.8,74.5,-7.70,-6.24,-8.26,-6.13,-14.39
270,1993,Western Carolina,Southern,6,21,69.2,75.3,-6.15,-6.04,-8.81,-5.77,-14.58
271,1993,Centenary (LA),TAAC,9,18,84.1,87.4,-3.30,-7.35,4.20,-18.86,-14.66
272,1993,UNC Greensboro,Big South,10,17,68.9,73.9,-5.07,-10.01,-8.72,-6.36,-15.08
273,1993,Loyola (MD),MAAC,2,25,58.2,70.4,-12.22,-3.04,-15.58,0.32,-15.26
274,1993,St. Francis (NY),NEC,9,18,73.6,81.0,-7.41,-7.87,-2.01,-13.27,-15.27
